"Name","Class"
"ABALAAAALAL","Neu"
"ABALAAAALPP","Str"
"ABALAAAARLP","Neu"
"ABALAAAARRP","Neu"
"ABALAAAPALL","Str"
"ABALAAAPALR","Neu"
"ABALAAAPARR","Str"
"ABALAAAPPLL","Str"
"ABALAAAPPRL","Neu"
"ABALAAAPPRR","Str"
"ABALAAPAAAR","Neu"
"ABALAAPAAPP","Str"
"ABALAAPAPPP","Str"
"ABALAAPPAPA","Neu"
"ABALAAPPAPP","Str"
"ABALAAPPPAA","Neu"
"ABALAAPPPPAA","Neu"
"ABALAAPPPPP","Neu"
"ABALAPAAAAA","Neu"
"ABALAPAAAPA","Neu"
"ABALAPAAAPP","Str"
"ABALAPAAPAA","Neu"
"ABALAPAAPPAA","Neu"
"ABALAPAAPPP","Neu"
"ABALAPAPAPAA","Neu"
"ABALAPAPAPP","Neu"
"ABALAPAPPAAA","Neu"
"ABALAPAPPAP","Neu"
"ABALAPAPPPA","Neu"
"ABALAPAPPPP","Str"
"ABALAPPAAPA","Neu"
"ABALAPPAPAA","Neu"
"ABALAPPAPPA","Neu"
"ABALAPPAPPP","Str"
"ABALAPPPAAA","Neu"
"ABALAPPPAAP","Neu"
"ABALAPPPAPAA","Neu"
"ABALAPPPAPP","Neu"
"ABALAPPPPAAA","Neu"
"ABALAPPPPAP","Neu"
"ABALAPPPPPA","Neu"
"ABALAPPPPPP","Str"
"ABALPAAAAAA","Epi"
"ABALPAAAAAP","Mus"
"ABALPAAAAPA","Mus"
"ABALPAAAPAA","Mus"
"ABALPAAAPPP","Neu"
"ABALPAAPAAA","Epi"
"ABALPAAPAAP","Epi"
"ABALPAAPAPA","Epi"
"ABALPAAPAPP","Mus"
"ABALPAAPPAA","Epi"
"ABALPAAPPAP","Epi"
"ABALPAAPPPA","Epi"
"ABALPAAPPPP","Epi"
"ABALPAPAAAA","Neu"
"ABALPAPAAAP","Epi"
"ABALPAPAAPA","Epi"
"ABALPAPAPAA","Neu"
"ABALPAPAPAPP","Neu"
"ABALPAPAPPP","Neu"
"ABALPAPPAAPA","Neu"
"ABALPAPPAPA","Epi"
"ABALPAPPAPP","Epi"
"ABALPAPPPAA","Neu"
"ABALPAPPPPA","Epi"
"ABALPAPPPPP","Mus"
"ABALPPAAAPA","Neu"
"ABALPPAAAPP","Str"
"ABALPPAAPPP","Str"
"ABALPPAPAAA","Neu"
"ABALPPAPAAP","Str"
"ABALPPAPAPA","Neu"
"ABALPPAPAPP","Str"
"ABALPPAPPAA","Neu"
"ABALPPAPPAP","Neu"
"ABALPPAPPPAA","Neu"
"ABALPPAPPPP","Neu"
"ABALPPPAAAA","Neu"
"ABALPPPAAAP","Str"
"ABALPPPAAPD","Str"
"ABALPPPAPAD","Neu"
"ABALPPPAPAV","Neu"
"ABALPPPAPPPA","Neu"
"ABALPPPPAAD","Neu"
"ABALPPPPAPAA","Neu"
"ABALPPPPPAA","Neu"
"ABALPPPPPAP","Neu"
"ABALPPPPPPAA","Neu"
"ABALPPPPPPPA","Neu"
"ABALPPPPPPPP","Neu"
"ABARAAAAAAA","Epi"
"ABARAAAAAAP","Mus"
"ABARAAAAAPA","Epi"
"ABARAAAAAPP","Mus"
"ABARAAAAPAP","Epi"
"ABARAAAPAAA","Epi"
"ABARAAAPAAP","Epi"
"ABARAAAPAPA","Epi"
"ABARAAAPAPP","Mus"
"ABARAAAPPAA","Epi"
"ABARAAAPPAP","Epi"
"ABARAAAPPPA","Epi"
"ABARAAAPPPP","Epi"
"ABARAAPAAAA","Epi"
"ABARAAPAAAP","Mus"
"ABARAAPAAPA","Mus"
"ABARAAPAAPP","Epi"
"ABARAAPAPAAV","Neu"
"ABARAAPAPAP","Mus"
"ABARAAPAPPA","Neu"
"ABARAAPAPPP","Neu"
"ABARAAPPAAA","Neu"
"ABARAAPPAAP","Mus"
"ABARAAPPAPA","Mus"
"ABARAAPPAPP","Epi"
"ABARAAPPPAAV","Neu"
"ABARAAPPPAP","Mus"
"ABARAAPPPPA","Neu"
"ABARAAPPPPP","Neu"
"ABARAPAAAAA","Epi"
"ABARAPAAAAP","Mus"
"ABARAPAAAPA","Mus"
"ABARAPAAPAA","Mus"
"ABARAPAAPPA","Mus"
"ABARAPAAPPP","Neu"
"ABARAPAPAAPA","Neu"
"ABARAPAPAPA","Epi"
"ABARAPAPAPP","Neu"
"ABARAPAPPAA","Neu"
"ABARAPAPPPA","Epi"
"ABARAPAPPPP","Mus"
"ABARAPPAAAA","Neu"
"ABARAPPAAPA","Epi"
"ABARAPPAPAA","Neu"
"ABARAPPAPAPP","Neu"
"ABARAPPAPPA","Neu"
"ABARAPPAPPP","Neu"
"ABARAPPPAAA","Neu"
"ABARAPPPAAP","Str"
"ABARAPPPAPA","Neu"
"ABARAPPPAPP","Str"
"ABARAPPPPAA","Neu"
"ABARAPPPPAP","Neu"
"ABARAPPPPPAA","Neu"
"ABARAPPPPPP","Neu"
"ABARPAAAAAL","Str"
"ABARPAAAAAR","Str"
"ABARPAAAAPA","Str"
"ABARPAAAAPP","Str"
"ABARPAAAPAA","Str"
"ABARPAAAPAP","Str"
"ABARPAAPAA","Epi"
"ABARPAAPAP","Epi"
"ABARPAAPPA","Epi"
"ABARPAAPPP","Epi"
"ABARPAPAAAA","Neu"
"ABARPAPAAPPA","Neu"
"ABARPAPAAPPP","Neu"
"ABARPAPAPA","Epi"
"ABARPAPAPP","Epi"
"ABARPAPPAA","Epi"
"ABARPAPPAP","Epi"
"ABARPAPPPA","Epi"
"ABARPAPPPP","Bla"
"ABARPPAAAA","Str"
"ABARPPAAAP","Bla"
"ABARPPAAPA","Epi"
"ABARPPAAPPA","Neu"
"ABARPPAAPPP","Neu"
"ABARPPAPAA","Bla"
"ABARPPAPAP","Bla"
"ABARPPAPPA","Bla"
"ABARPPAPPP","Bla"
"ABARPPPAAA","Str"
"ABARPPPAAP","Bla"
"ABARPPPAPA","Epi"
"ABARPPPAPPA","Neu"
"ABARPPPAPPP","Neu"
"ABARPPPPAA","Bla"
"ABARPPPPAP","Bla"
"ABARPPPPPA","Bla"
"ABARPPPPPP","Bla"
"ABPLAAAAAAA","Neu"
"ABPLAAAAAPPA","Neu"
"ABPLAAAAAPPP","Neu"
"ABPLAAAAPA","Epi"
"ABPLAAAAPP","Epi"
"ABPLAAAPAA","Epi"
"ABPLAAAPAP","Epi"
"ABPLAAAPPA","Epi"
"ABPLAAAPPP","Bla"
"ABPLAAPAAAA","Epi"
"ABPLAAPAAAP","Str"
"ABPLAAPAAPA","Neu"
"ABPLAAPAAPP","Str"
"ABPLAAPAPAA","Neu"
"ABPLAAPAPAP","Neu"
"ABPLAAPAPPA","Neu"
"ABPLAAPAPPPA","Neu"
"ABPLAAPPAA","Epi"
"ABPLAAPPAP","Epi"
"ABPLAAPPPA","Epi"
"ABPLAAPPPP","Epi"
"ABPLAPAAAAPA","Neu"
"ABPLAPAAAAPP","Neu"
"ABPLAPAAAPAD","Neu"
"ABPLAPAAAPAV","Neu"
"ABPLAPAAAPP","Neu"
"ABPLAPAAPA","Bla"
"ABPLAPAAPP","Bla"
"ABPLAPAPAAA","Bla"
"ABPLAPAPAAP","Bla"
"ABPLAPAPAP","Bla"
"ABPLAPAPPA","Bla"
"ABPLAPAPPPPAA","Neu"
"ABPLAPAPPPPAP","Neu"
"ABPLAPPAAA","Bla"
"ABPLAPPAAP","Bla"
"ABPLAPPAPA","Bla"
"ABPLAPPAPP","Bla"
"ABPLAPPPAAA","Neu"
"ABPLAPPPAPPA","Neu"
"ABPLAPPPAPPP","Neu"
"ABPLAPPPPA","Epi"
"ABPLAPPPPP","Bla"
"ABPLPAAAAAA","Neu"
"ABPLPAAAAAP","Neu"
"ABPLPAAAAPA","Gla"
"ABPLPAAAAPP","Neu"
"ABPLPAAAPAA","Neu"
"ABPLPAAAPAP","Str"
"ABPLPAAAPPAA","Neu"
"ABPLPAAAPPP","Neu"
"ABPLPAAPAAA","Neu"
"ABPLPAAPAAP","Neu"
"ABPLPAAPAPA","Str"
"ABPLPAAPPAA","Neu"
"ABPLPAAPPAP","Neu"
"ABPLPAAPPPA","Neu"
"ABPLPAAPPPPA","Neu"
"ABPLPAPAAAA","Neu"
"ABPLPAPAAAP","Neu"
"ABPLPAPAAPA","Neu"
"ABPLPAPAAPP","Neu"
"ABPLPAPAPAA","Gla"
"ABPLPAPAPAP","Neu"
"ABPLPAPAPPA","Neu"
"ABPLPAPAPPP","Neu"
"ABPLPAPPAAA","Neu"
"ABPLPAPPAAP","Gla"
"ABPLPAPPPAA","Bla"
"ABPLPAPPPAP","Epi"
"ABPLPAPPPPA","Neu"
"ABPLPAPPPPP","Epi"
"ABPLPPAAAAA","Neu"
"ABPLPPAAAAPP","Neu"
"ABPLPPAAPAP","Neu"
"ABPLPPAAPPA","Neu"
"ABPLPPAAPPP","Neu"
"ABPLPPAPAAAA","Neu"
"ABPLPPAPAAAP","Neu"
"ABPLPPAPAAP","Neu"
"ABPLPPAPAPA","Neu"
"ABPLPPAPAPP","Neu"
"ABPLPPAPPAA","Neu"
"ABPLPPAPPAP","Neu"
"ABPLPPAPPPA","Neu"
"ABPLPPAPPPP","Neu"
"ABPLPPPAAAA","Neu"
"ABPLPPPAAAP","Neu"
"ABPLPPPAAPAA","Neu"
"ABPLPPPAAPAP","Neu"
"ABPLPPPAAPP","Neu"
"ABPLPPPAPAA","Str"
"ABPLPPPAPAP","Epi"
"ABPLPPPPAAA","Neu"
"ABPLPPPPAAP","Epi"
"ABPLPPPPAPA","Epi"
"ABPLPPPPAPP","Epi"
"ABPLPPPPPAA","Mus"
"ABPLPPPPPAP","Mus"
"ABPLPPPPPPP","Epi"
"ABPRAAAAAAA","Neu"
"ABPRAAAAAAP","Str"
"ABPRAAAAAPD","Str"
"ABPRAAAAPAD","Neu"
"ABPRAAAAPAV","Neu"
"ABPRAAAAPPPA","Neu"
"ABPRAAAPAAD","Neu"
"ABPRAAAPAPAA","Neu"
"ABPRAAAPPAA","Neu"
"ABPRAAAPPAP","Neu"
"ABPRAAAPPPAA","Neu"
"ABPRAAAPPPPA","Neu"
"ABPRAAAPPPPP","Neu"
"ABPRAAPAAAA","Epi"
"ABPRAAPAAAP","Str"
"ABPRAAPAAPA","Neu"
"ABPRAAPAAPP","Str"
"ABPRAAPAPAA","Neu"
"ABPRAAPAPAP","Neu"
"ABPRAAPAPPA","Neu"
"ABPRAAPAPPPA","Neu"
"ABPRAAPPAA","Epi"
"ABPRAAPPAP","Epi"
"ABPRAAPPPA","Epi"
"ABPRAAPPPP","Epi"
"ABPRAPAAAAPA","Neu"
"ABPRAPAAAAPP","Neu"
"ABPRAPAAAPAD","Neu"
"ABPRAPAAAPAV","Neu"
"ABPRAPAAAPP","Neu"
"ABPRAPAAPA","Bla"
"ABPRAPAAPP","Bla"
"ABPRAPAPAAA","Bla"
"ABPRAPAPAAP","Bla"
"ABPRAPAPAP","Bla"
"ABPRAPAPPA","Bla"
"ABPRAPAPPPPAA","Neu"
"ABPRAPAPPPPAP","Neu"
"ABPRAPPAAA","Bla"
"ABPRAPPAAP","Bla"
"ABPRAPPAPA","Bla"
"ABPRAPPAPP","Bla"
"ABPRAPPPAAA","Neu"
"ABPRAPPPAPPA","Neu"
"ABPRAPPPAPPP","Neu"
"ABPRAPPPPA","Epi"
"ABPRAPPPPP","Bla"
"ABPRPAAAAAA","Neu"
"ABPRPAAAAAP","Neu"
"ABPRPAAAAPA","Bla"
"ABPRPAAAAPP","Neu"
"ABPRPAAAPAA","Neu"
"ABPRPAAAPAP","Str"
"ABPRPAAAPPAA","Neu"
"ABPRPAAAPPP","Neu"
"ABPRPAAPAAA","Neu"
"ABPRPAAPAAP","Neu"
"ABPRPAAPAPA","Str"
"ABPRPAAPPAA","Neu"
"ABPRPAAPPAP","Neu"
"ABPRPAAPPPA","Neu"
"ABPRPAAPPPPA","Neu"
"ABPRPAPAAAA","Neu"
"ABPRPAPAAAP","Neu"
"ABPRPAPAAPA","Neu"
"ABPRPAPAAPP","Neu"
"ABPRPAPAPAA","Gla"
"ABPRPAPAPAP","Neu"
"ABPRPAPAPPA","Neu"
"ABPRPAPAPPP","Neu"
"ABPRPAPPAAA","Neu"
"ABPRPAPPAAP","Neu"
"ABPRPAPPAPA","Neu"
"ABPRPAPPAPP","Neu"
"ABPRPAPPPAA","Neu"
"ABPRPAPPPAP","Neu"
"ABPRPAPPPPA","Epi"
"ABPRPAPPPPP","Epi"
"ABPRPPAAAAA","Neu"
"ABPRPPAAAAPP","Neu"
"ABPRPPAAPAP","Neu"
"ABPRPPAAPPA","Neu"
"ABPRPPAAPPP","Neu"
"ABPRPPAPAAAA","Neu"
"ABPRPPAPAAAP","Neu"
"ABPRPPAPAAP","Neu"
"ABPRPPAPAPA","Neu"
"ABPRPPAPAPP","Neu"
"ABPRPPAPPAA","Neu"
"ABPRPPAPPAP","Neu"
"ABPRPPAPPPA","Neu"
"ABPRPPAPPPP","Neu"
"ABPRPPPAAAA","Epi"
"ABPRPPPAAAP","Neu"
"ABPRPPPAAPAA","Neu"
"ABPRPPPAAPAP","Neu"
"ABPRPPPAAPP","Neu"
"ABPRPPPAPAA","Str"
"ABPRPPPAPAP","Epi"
"ABPRPPPPAAA","Neu"
"ABPRPPPPAAP","Epi"
"ABPRPPPPAPA","Epi"
"ABPRPPPPAPP","Neu"
"ABPRPPPPPAA","Mus"
"ABPRPPPPPAP","Mus"
"ABPRPPPPPPP","Epi"
"MSAAAAAAL","Str"
"MSAAAAAAR","Str"
"MSAAAAAPAA","Neu"
"MSAAAAAPAP","Gla"
"MSAAAAAPP","Mus"
"MSAAAAPAA","Neu"
"MSAAAAPAP","Mus"
"MSAAAAPPP","Mus"
"MSAAAPAAA","Mus"
"MSAAAPAAP","Mus"
"MSAAAPAPA","Epi"
"MSAAAPAPP","Mus"
"MSAAAPPP","Epi"
"MSAAPAAAA","Mus"
"MSAAPAAAP","Mus"
"MSAAPAAPAA","Gla"
"MSAAPAAPP","Mus"
"MSAAPAPAA","Gla"
"MSAAPAPPA","Mus"
"MSAAPAPPP","Epi"
"MSAAPPAA","Epi"
"MSAAPPAP","Epi"
"MSAAPPPAA","Mus"
"MSAAPPPAP","Mus"
"MSAAPPPPA","Mus"
"MSAAPPPPP","Mus"
"MSAPAAAAD","Str"
"MSAPAAAAV","Str"
"MSAPAAAP","Mus"
"MSAPAAPP","Bla"
"MSAPAPAAA","Gla"
"MSAPAPAAP","Gla"
"MSAPAPAP","Mus"
"MSAPAPPA","Mus"
"MSAPAPPP","Mus"
"MSAPPAAA","Mus"
"MSAPPAAP","Bla"
"MSAPPAPP","Mus"
"MSAPPPAA","Mus"
"MSAPPPAP","Mus"
"MSAPPPPA","Mus"
"MSAPPPPP","Mus"
"MSPAAAAAA","Neu"
"MSPAAAAPA","Mus"
"MSPAAAAPP","Mus"
"MSPAAAPAA","Neu"
"MSPAAAPAP","Neu"
"MSPAAAPPA","Mus"
"MSPAAAPPP","Mus"
"MSPAAPAAA","Neu"
"MSPAAPAPA","Epi"
"MSPAAPAPP","Epi"
"MSPAPAAAA","Mus"
"MSPAPAAAP","Mus"
"MSPAPAAPAA","Gla"
"MSPAPAAPP","Mus"
"MSPAPAPAA","Gla"
"MSPAPAPPA","Mus"
"MSPAPAPPP","Epi"
"MSPAPPAA","Mus"
"MSPAPPAP","Mus"
"MSPAPPPAA","Mus"
"MSPAPPPAP","Mus"
"MSPAPPPPA","Mus"
"MSPAPPPPP","Mus"
"MSPPAAAAD","Str"
"MSPPAAAAV","Str"
"MSPPAAAP","Mus"
"MSPPAAPP","Mus"
"MSPPAPAAA","Gla"
"MSPPAPAAP","Gla"
"MSPPAPAP","Mus"
"MSPPAPPA","Mus"
"MSPPAPPP","Mus"
"MSPPPAAP","Bla"
"MSPPPAPP","Mus"
"MSPPPPAA","Mus"
"MSPPPPAP","Mus"
"MSPPPPPA","Mus"
"MSPPPPPP","Mus"
"EALAAD","Int"
"EALAAV","Int"
"EALAP","Int"
"EALPA","Int"
"EALPP","Int"
"EARAAD","Int"
"EARAAV","Int"
"EARAP","Int"
"EARPA","Int"
"EARPP","Int"
"EPLAA","Int"
"EPLAP","Int"
"EPLPA","Int"
"EPLPPA","Int"
"EPLPPP","Int"
"EPRAA","Int"
"EPRAP","Int"
"EPRPA","Int"
"EPRPPA","Int"
"EPRPPP","Int"
"CAAAAA","Epi"
"CAAAAP","Epi"
"CAAAPA","Epi"
"CAAAPP","Epi"
"CAAPAA","Neu"
"CAAPPD","Epi"
"CAAPPV","Neu"
"CAPAAAA","Mus"
"CAPAAAP","Mus"
"CAPAAPA","Mus"
"CAPAAPP","Mus"
"CAPAPAA","Mus"
"CAPAPAP","Mus"
"CAPAPPA","Mus"
"CAPAPPP","Mus"
"CAPPAAA","Mus"
"CAPPAAP","Mus"
"CAPPAPA","Mus"
"CAPPAPP","Mus"
"CAPPPAA","Mus"
"CAPPPAP","Mus"
"CAPPPPD","Mus"
"CAPPPPV","Mus"
"CPAAAA","Epi"
"CPAAAP","Epi"
"CPAAPA","Epi"
"CPAAPP","Epi"
"CPAPAA","Epi"
"CPAPAP","Epi"
"CPAPPD","Epi"
"CPAPPV","Epi"
"CPPAAAA","Mus"
"CPPAAAP","Mus"
"CPPAAPA","Mus"
"CPPAAPP","Mus"
"CPPAPAA","Mus"
"CPPAPAP","Mus"
"CPPAPPA","Mus"
"CPPAPPP","Mus"
"CPPPAAA","Mus"
"CPPPAAP","Mus"
"CPPPAPA","Mus"
"CPPPAPP","Mus"
"CPPPPAA","Mus"
"CPPPPAP","Mus"
"CPPPPPD","Mus"
"CPPPPPV","Mus"
"DAAAA","Mus"
"DAAAP","Mus"
"DAAPA","Mus"
"DAAPP","Mus"
"DAPAA","Mus"
"DAPAP","Mus"
"DAPPAA","Mus"
"DAPPAP","Mus"
"DAPPPA","Mus"
"DAPPPP","Mus"
"DPAAA","Mus"
"DPAAP","Mus"
"DPAPA","Mus"
"DPAPP","Mus"
"DPPAA","Mus"
"DPPAP","Mus"
"DPPPAA","Mus"
"DPPPAP","Mus"
"DPPPPA","Mus"
"DPPPPP","Mus"
"P4A","Ger"
"P4P","Ger"
